ticker,feature,psi
ALKEM.NS,ema_200,22.8057
ALKEM.NS,ret_1,0.0507
ALKEM.NS,ret_5,0.052
ALKEM.NS,ret_10,0.0593
METROPOLIS.NS,rsi,0.2228
METROPOLIS.NS,atr,12.1327
METROPOLIS.NS,ema_20,5.0648
METROPOLIS.NS,ema_50,8.4391
METROPOLIS.NS,ema_200,12.0893
METROPOLIS.NS,ret_1,0.0856
METROPOLIS.NS,ret_5,0.2224
METROPOLIS.NS,ret_10,0.3767
CUMMINSIND.NS,rsi,0.0702
CUMMINSIND.NS,atr,19.4314
CUMMINSIND.NS,ema_20,30.6697
CUMMINSIND.NS,ema_50,37.2489
CUMMINSIND.NS,ema_200,37.2489
CUMMINSIND.NS,ret_1,0.043
CUMMINSIND.NS,ret_5,0.0363
CUMMINSIND.NS,ret_10,0.0621
HINDPETRO.NS,rsi,0.0962
HINDPETRO.NS,atr,12.1838
HINDPETRO.NS,ema_20,15.7849
HINDPETRO.NS,ema_50,15.9091
HINDPETRO.NS,ema_200,15.371
HINDPETRO.NS,ret_1,0.0274
HINDPETRO.NS,ret_5,0.0454
HINDPETRO.NS,ret_10,0.0484
INDUSTOWER.NS,rsi,0.3702
INDUSTOWER.NS,atr,0.6867
INDUSTOWER.NS,ema_20,9.3397
INDUSTOWER.NS,ema_50,9.9157
INDUSTOWER.NS,ema_200,13.3212
INDUSTOWER.NS,ret_1,0.0279
INDUSTOWER.NS,ret_5,0.0761
INDUSTOWER.NS,ret_10,0.0809
BALKRISIND.NS,rsi,0.1077
BALKRISIND.NS,atr,0.6795
BALKRISIND.NS,ema_20,12.6984
BALKRISIND.NS,ema_50,15.9751
BALKRISIND.NS,ema_200,22.9043
BALKRISIND.NS,ret_1,0.0859
BALKRISIND.NS,ret_5,0.0718
BALKRISIND.NS,ret_10,0.085
GOKEX.BO,rsi,0.1283
GOKEX.BO,atr,16.0395
GOKEX.BO,ema_20,26.4759
GOKEX.BO,ema_50,26.6583
GOKEX.BO,ema_200,37.2127
GOKEX.BO,ret_1,0.1083
GOKEX.BO,ret_5,0.0547
GOKEX.BO,ret_10,0.0667
FEDERALBNK.NS,rsi,0.0888
FEDERALBNK.NS,atr,4.7106
FEDERALBNK.NS,ema_20,29.8528
FEDERALBNK.NS,ema_50,29.7799
FEDERALBNK.NS,ema_200,37.2489
FEDERALBNK.NS,ret_1,0.208
FEDERALBNK.NS,ret_5,0.1615
FEDERALBNK.NS,ret_10,0.2491
PERSISTENT.NS,rsi,0.0368
PERSISTENT.NS,atr,15.9122
PERSISTENT.NS,ema_20,30.0229
PERSISTENT.NS,ema_50,30.4921
PERSISTENT.NS,ema_200,37.2489
PERSISTENT.NS,ret_1,0.0784
PERSISTENT.NS,ret_5,0.083
PERSISTENT.NS,ret_10,0.1454
BSE.NS,rsi,0.307
BSE.NS,atr,19.8242
BSE.NS,ema_20,22.9714
BSE.NS,ema_50,22.9469
BSE.NS,ema_200,23.4827
BSE.NS,ret_1,0.1176
BSE.NS,ret_5,0.1778
BSE.NS,ret_10,0.1791
LODHA.NS,rsi,0.0595
LODHA.NS,atr,19.704
LODHA.NS,ema_20,30.4787
LODHA.NS,ema_50,30.312
LODHA.NS,ema_200,30.7154
LODHA.NS,ret_1,0.0462
LODHA.NS,ret_5,0.0389
LODHA.NS,ret_10,0.0335
ICICIPRULI.NS,rsi,0.0655
ICICIPRULI.NS,atr,0.1088
ICICIPRULI.NS,ema_20,1.1193
ICICIPRULI.NS,ema_50,1.409
ICICIPRULI.NS,ema_200,11.6225
ICICIPRULI.NS,ret_1,0.0371
ICICIPRULI.NS,ret_5,0.0354
ICICIPRULI.NS,ret_10,0.0787
