ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
TATAPOWER.NS,2025-09-12,2025-09-12,386.25,0.5,True,isotonic,0.46,False,SELL,392.32,377.15,6.065,50.238,3407158,Utilities,Utilities - Independent Power Producers,1.5,False,False,False,False,0.0157,True,True,,
PGEL.NS,2025-09-12,2025-09-12,569.9,0.568,True,isotonic,0.7,False,HOLD,,,26.747,43.536,6283229,Technology,Electronic Components,,False,False,False,False,0.0469,True,True,,
GUJGASLTD.NS,2025-09-12,2025-09-12,431.05,0.0,True,isotonic,0.45,False,SELL,441.98,414.65,10.935,46.501,269028,Utilities,Utilities - Regulated Gas,1.5,False,False,False,False,0.0254,True,True,,
PETRONET.NS,2025-09-12,2025-09-12,277.95,0.359,True,isotonic,0.45,False,SELL,283.15,270.15,5.198,49.681,1598978,Energy,Oil & Gas Refining & Marketing,1.5,False,True,False,False,0.0187,True,True,,
GODREJPROP.NS,2025-09-12,2025-09-12,1998.9,0.275,True,isotonic,0.63,False,SELL,2045.66,1928.76,46.762,46.06,611222,Real Estate,Real Estate - Development,1.5,False,False,False,False,0.0234,True,True,,
OBEROIRLTY.NS,2025-09-12,2025-09-12,1601.9,0.667,True,isotonic,0.7,False,HOLD,,,34.678,37.441,404581,Real Estate,Real Estate - Development,,False,True,False,False,0.0216,True,True,,
DIXON.NS,2025-09-12,2025-09-12,18103.0,0.5,True,isotonic,0.69,True,HOLD,,,322.769,71.648,235755,Technology,Consumer Electronics,,False,False,False,True,0.0178,True,True,,
ADANIPORTS.NS,2025-09-12,2025-09-12,1393.1,0.387,True,isotonic,0.55,False,SELL,1419.66,1353.27,26.555,61.578,2170783,Industrials,Marine Shipping,1.5,False,False,False,True,0.0191,True,True,,
TECHM.NS,2025-09-12,2025-09-12,1525.5,0.397,True,isotonic,0.55,False,SELL,1554.59,1481.87,29.089,54.596,1383426,Technology,Information Technology Services,1.5,False,False,False,False,0.0191,True,True,,
BHARTIARTL.NS,2025-09-12,2025-09-12,1902.6,0.543,True,isotonic,0.55,False,HOLD,,,27.456,50.514,4137446,Communication Services,Telecom Services,,False,False,False,True,0.0144,True,True,,
SUZLON.NS,2025-09-12,2025-09-12,57.11,0.575,True,isotonic,0.7,False,HOLD,,,1.389,39.272,55691184,Industrials,Specialty Industrial Machinery,,False,False,False,False,0.0243,True,True,,
